,Satiety Index,Insulin Index,Food_x,Group,Closest_Match,Food_y,serving_size,calories,total_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
121,0.37794646,0.430117206,human breast milk,Dairy and Egg Products,milk fluid mature human,milk fluid mature human,100 g,70.0,4.4g,14mg,17.00 mg,16.0 mg,5.00 mcg,0.00 mcg,0.177 mg,0.223 mg,0.036 mg,0.014 mg,212.00 IU,61.00 mcg,0.00 mcg,7.00 mcg,0.00 mcg,0.00 mcg,0.0,0.05 mcg,0.011 mg,5.0 mg,3.00 IU,0.08 mg,0.08 mg,0.3 mcg,32.00 mg,0.052 mg,0.03 mg,3.00 mg,0.026 mg,14.00 mg,51.00 mg,1.8 mcg,0.17 mg,1.03 g,0.036 g,0.043 g,0.082 g,0.019 g,0.168 g,0.026 g,0.023 g,0,0.056 g,0.095 g,0.068 g,0.021 g,0.046 g,0.082 g,0.043 g,0.046 g,0.017 g,0.053 g,0.063 g,6.89 g,0.0 g,6.89 g,0,0,0,0,0,0,4.38 g,2.009 g,1.658 g,0.497 g,14.00 mg,0.0 g,0.20 g,0.00 mg,0.00 mg,87.50 g
122,0.686550887,0.637143546,kefir low fat,Dairy and Egg Products,kellogg low fat waffle nutrigrain eggo,kellogg low fat waffle nutrigrain eggo,100 g,201.0,3.5g,0,559.00 mg,0,67.00 mcg,0,5.700 mg,0,0.490 mg,0.430 mg,1429.00 IU,0,0,0,0,0,0.0,1.70 mcg,0.570 mg,0,0.00 IU,0.00 mg,0.00 mg,0,143.00 mg,0,6.40 mg,53.00 mg,0,351.00 mg,162.00 mg,0,0.90 mg,6.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.00 g,4.0 g,3.90 g,0,0,0,0,0,0,3.50 g,0.800 g,0.800 g,1.500 g,0.00 mg,0,0,0,0,47.66 g
123,0.389031081,0.188566068,limburger cheese,Dairy and Egg Products,cheese neufchatel,cheese neufchatel,100 g,253.0,23g,74mg,334.00 mg,0,14.00 mcg,0.00 mcg,0.210 mg,0.575 mg,0.155 mg,0.022 mg,841.00 IU,241.00 mcg,0.00 mcg,27.00 mcg,0.00 mcg,0,0.0,0.30 mcg,0.041 mg,0.0 mg,0,0.40 mg,0.40 mg,1.7 mcg,117.00 mg,0.027 mg,0.13 mg,10.00 mg,0.011 mg,138.00 mg,152.00 mg,3.0 mcg,0.82 mg,9.15 g,0.283 g,0.363 g,0.794 g,0.064 g,2.013 g,0.218 g,0.270 g,0.000 g,0.501 g,1.013 g,0.875 g,0.294 g,0.448 g,1.027 g,0.577 g,0.359 g,0.106 g,0.468 g,0.609 g,3.59 g,0.0 g,3.19 g,0.00 g,0.00 g,0.00 g,3.19 g,0.00 g,0.00 g,22.78 g,12.790 g,5.784 g,0.970 g,74.00 mg,0,1.37 g,0,0,63.11 g
124,0.33915968,0.438173769,milk full fat,Dairy and Egg Products,milk reduced fat cultured fluid buttermilk,milk reduced fat cultured fluid buttermilk,100 g,56.0,2g,8mg,105.00 mg,16.0 mg,6.00 mcg,0.00 mcg,0.100 mg,0,0.210 mg,0.050 mg,58.00 IU,16.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,0.00 mcg,0.0,0.37 mcg,0.030 mg,1.5 mg,1.00 IU,0.11 mg,0.11 mg,0.1 mcg,143.00 mg,0.008 mg,0.06 mg,13.00 mg,0,82.00 mg,180.00 mg,2.3 mcg,0.24 mg,4.10 g,0.139 g,0.117 g,0.351 g,0.025 g,0.921 g,0.081 g,0.124 g,0,0.212 g,0.388 g,0.343 g,0.107 g,0.212 g,0.404 g,0.247 g,0.175 g,0.052 g,0.207 g,0.268 g,5.30 g,0.0 g,5.30 g,0,0,0,0,0,0,2.00 g,1.242 g,0.576 g,0.071 g,8.00 mg,0.0 g,0.90 g,0.00 mg,0.00 mg,87.70 g
125,0.40738673,0.204808916,monterey cheese,Dairy and Egg Products,cheese monterey,cheese monterey,100 g,373.0,30g,89mg,600.00 mg,15.4 mg,18.00 mcg,0.00 mcg,0.093 mg,0.210 mg,0.390 mg,0.015 mg,769.00 IU,198.00 mcg,0.00 mcg,78.00 mcg,0.00 mcg,0.00 mcg,0.0,0.83 mcg,0.079 mg,0.0 mg,22.00 IU,0.26 mg,0.26 mg,2.5 mcg,746.00 mg,0.032 mg,0.72 mg,27.00 mg,0.011 mg,444.00 mg,81.00 mg,14.5 mcg,3.00 mg,24.48 g,0.691 g,0.925 g,1.573 g,0.123 g,5.990 g,0.422 g,0.859 g,0,1.519 g,2.344 g,2.037 g,0.641 g,1.289 g,2.759 g,1.431 g,0.871 g,0.315 g,1.182 g,1.635 g,0.68 g,0.0 g,0.50 g,0,0,0,0,0,0,30.28 g,19.066 g,8.751 g,0.899 g,89.00 mg,0.0 g,3.55 g,0.00 mg,0.00 mg,41.01 g
126,0.477605668,0.341211959,mozzarella,Dairy and Egg Products,cheese nonfat mozzarella,cheese nonfat mozzarella,100 g,141.0,0g,18mg,743.00 mg,15.4 mg,10.00 mcg,0.00 mcg,0.120 mg,0,0.300 mg,0.020 mg,481.00 IU,127.00 mcg,0.00 mcg,41.00 mcg,0.00 mcg,0.00 mcg,0.0,0.92 mcg,0.080 mg,0.0 mg,0.00 IU,0.14 mg,0.14 mg,1.6 mcg,961.00 mg,0.034 mg,0.31 mg,33.00 mg,0,656.00 mg,106.00 mg,18.9 mcg,3.92 mg,31.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50 g,1.8 g,1.48 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,18.00 mg,0.0 g,4.60 g,0.00 mg,0.00 mg,60.20 g
127,0.86818194,0.552613636,mozzarella non fat,Dairy and Egg Products,animal fat bacon grease,animal fat bacon grease,100 g,897.0,100g,95mg,150.00 mg,42.2 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.000 mg,0.0 mg,101.00 IU,0.60 mg,0.60 mg,0.0 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.11 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,99.50 g,39.004 g,44.874 g,11.144 g,95.00 mg,0.0 g,0.50 g,0.00 mg,0.00 mg,0.00 g
128,0.403577167,0.205688827,muenster cheese,Dairy and Egg Products,cheese muenster,cheese muenster,100 g,368.0,30g,96mg,628.00 mg,15.4 mg,12.00 mcg,0.00 mcg,0.103 mg,0.190 mg,0.320 mg,0.013 mg,1012.00 IU,298.00 mcg,0.00 mcg,13.00 mcg,0.00 mcg,0.00 mcg,0.0,1.47 mcg,0.056 mg,0.0 mg,22.00 IU,0.26 mg,0.26 mg,2.5 mcg,717.00 mg,0.031 mg,0.41 mg,27.00 mg,0.008 mg,468.00 mg,134.00 mg,14.5 mcg,2.81 mg,23.41 g,0.675 g,0.881 g,1.600 g,0.132 g,5.555 g,0.440 g,0.829 g,0,1.145 g,2.260 g,2.139 g,0.569 g,1.240 g,2.594 g,1.299 g,0.888 g,0.327 g,1.123 g,1.482 g,1.12 g,0.0 g,1.12 g,0,0,0,0,0,0,30.04 g,19.113 g,8.711 g,0.661 g,96.00 mg,0.0 g,3.66 g,0.00 mg,0.00 mg,41.77 g
129,0.609582989,0.964114229,nonfat yogurt,Dairy and Egg Products,yogurt nonfat vanilla,yogurt nonfat vanilla,100 g,78.0,0g,3mg,47.00 mg,15.6 mg,11.00 mcg,0.00 mcg,0.107 mg,0.552 mg,0.200 mg,0.042 mg,204.00 IU,61.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.53 mcg,0.045 mg,0.0 mg,35.00 IU,0.01 mg,0.01 mg,0.0 mcg,118.00 mg,0.013 mg,0.00 mg,16.00 mg,0.004 mg,88.00 mg,141.00 mg,4.9 mcg,0.83 mg,2.94 g,0.211 g,0.148 g,0.391 g,0.045 g,0.965 g,0.119 g,0.122 g,0,0.269 g,0.497 g,0.442 g,0.145 g,0.269 g,0.584 g,0.305 g,0.202 g,0.028 g,0.249 g,0.408 g,17.04 g,0.0 g,5.88 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,3.00 mg,0.0 g,1.02 g,0.00 mg,0.00 mg,79.00 g
130,0.412847385,0.337424004,parmesan cheese,Dairy and Egg Products,cheese gruyere,cheese gruyere,100 g,413.0,32g,110mg,714.00 mg,15.4 mg,10.00 mcg,0.00 mcg,0.106 mg,0.562 mg,0.279 mg,0.060 mg,948.00 IU,271.00 mcg,0.00 mcg,33.00 mcg,0.00 mcg,0.00 mcg,0.0,1.60 mcg,0.081 mg,0.0 mg,24.00 IU,0.28 mg,0.28 mg,2.7 mcg,1011.00 mg,0.032 mg,0.17 mg,36.00 mg,0.017 mg,605.00 mg,81.00 mg,14.5 mcg,3.90 mg,29.81 g,0.958 g,0.972 g,1.645 g,0.304 g,5.981 g,0.533 g,1.117 g,0,1.612 g,3.102 g,2.710 g,0.822 g,1.743 g,3.869 g,1.719 g,1.089 g,0.421 g,1.776 g,2.243 g,0.36 g,0.0 g,0.36 g,0,0,0,0,0,0,32.34 g,18.913 g,10.043 g,1.733 g,110.00 mg,0.0 g,4.30 g,0.00 mg,0.00 mg,33.19 g
131,0.642261958,0.467071499,protein powder wpc,Dairy and Egg Products,beverage ea whey protein powder abbott,beverage ea whey protein powder abbott,100 g,385.0,5.1g,205mg,385.00 mg,81.6 mg,200.00 mcg,200.00 mcg,10.000 mg,0,0.857 mg,0.714 mg,54.00 IU,15.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,2.27 mcg,1.000 mg,0.8 mg,0.00 IU,0.38 mg,0.38 mg,0.5 mcg,256.00 mg,1.000 mg,0.92 mg,181.00 mg,0,643.00 mg,564.00 mg,24.8 mcg,7.14 mg,66.67 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95 g,0.0 g,5.13 g,0,0,0,0,0,0,5.13 g,2.564 g,0.281 g,0.926 g,205.00 mg,0.0 g,3.65 g,0.00 mg,0.00 mg,6.61 g
132,0.73443481,0.533347537,protein powder wpi,Dairy and Egg Products,beverage whey protein powder isolate,beverage whey protein powder isolate,100 g,359.0,1.2g,12mg,372.00 mg,225.0 mg,233.00 mcg,233.00 mcg,11.628 mg,5.814 mg,0.988 mg,0.872 mg,2907.00 IU,872.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,0.00 mcg,0.0,3.49 mcg,1.163 mg,34.9 mg,0.00 IU,7.85 mg,7.85 mg,46.5 mcg,698.00 mg,1.163 mg,1.26 mg,233.00 mg,1.160 mg,581.00 mg,872.00 mg,40.7 mcg,8.72 mg,58.14 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.07 g,0.0 g,1.16 g,0,0,0,0,0,0,1.16 g,0.581 g,0.149 g,0.021 g,12.00 mg,0.0 g,10.77 g,0.00 mg,0.00 mg,0.86 g
133,0.404153008,0.265225881,ricotta,Dairy and Egg Products,cheese nonfat mozzarella,cheese nonfat mozzarella,100 g,141.0,0g,18mg,743.00 mg,15.4 mg,10.00 mcg,0.00 mcg,0.120 mg,0,0.300 mg,0.020 mg,481.00 IU,127.00 mcg,0.00 mcg,41.00 mcg,0.00 mcg,0.00 mcg,0.0,0.92 mcg,0.080 mg,0.0 mg,0.00 IU,0.14 mg,0.14 mg,1.6 mcg,961.00 mg,0.034 mg,0.31 mg,33.00 mg,0,656.00 mg,106.00 mg,18.9 mcg,3.92 mg,31.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50 g,1.8 g,1.48 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,18.00 mg,0.0 g,4.60 g,0.00 mg,0.00 mg,60.20 g
134,0.265745541,0.12775196,sour cream,Dairy and Egg Products,cream cultured sour,cream cultured sour,100 g,198.0,19g,59mg,31.00 mg,19.2 mg,6.00 mcg,0.00 mcg,0.093 mg,0.472 mg,0.168 mg,0.020 mg,447.00 IU,124.00 mcg,0.00 mcg,25.00 mcg,1.00 mcg,4.00 mcg,0.0,0.21 mcg,0.041 mg,0.9 mg,0.00 IU,0.38 mg,0.38 mg,1.5 mcg,101.00 mg,0.018 mg,0.07 mg,10.00 mg,0.015 mg,76.00 mg,125.00 mg,3.7 mcg,0.33 mg,2.44 g,0.116 g,0.117 g,0.262 g,0.029 g,0.673 g,0.076 g,0.092 g,0,0.163 g,0.322 g,0.275 g,0.078 g,0.157 g,0.310 g,0.191 g,0.142 g,0.042 g,0.152 g,0.195 g,4.63 g,0.0 g,3.41 g,0.00 g,0.00 g,0.00 g,3.41 g,0.00 g,0.00 g,19.35 g,10.140 g,4.594 g,0.800 g,59.00 mg,0.0 g,0.51 g,0.00 mg,0.00 mg,73.07 g
135,0.481503524,0.927058824,sour cream fat free,Dairy and Egg Products,sour cream fat free,sour cream fat free,100 g,74.0,0g,9mg,141.00 mg,19.2 mg,11.00 mcg,0.00 mcg,0.070 mg,0,0.150 mg,0.040 mg,255.00 IU,73.00 mcg,0.00 mcg,9.00 mcg,0.00 mcg,0.00 mcg,0.0,0.30 mcg,0.020 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,125.00 mg,0.016 mg,0.00 mg,10.00 mg,0,95.00 mg,129.00 mg,5.3 mcg,0.50 mg,3.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.60 g,0.0 g,0.39 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,9.00 mg,0.0 g,0.70 g,0.00 mg,0.00 mg,80.60 g
136,0.234728563,0.26298984,sour cream light,Dairy and Egg Products,sour cream light,sour cream light,100 g,136.0,11g,35mg,83.00 mg,19.2 mg,11.00 mcg,0.00 mcg,0.070 mg,0,0.120 mg,0.040 mg,328.00 IU,90.00 mcg,0.00 mcg,21.00 mcg,0.00 mcg,0.00 mcg,0.0,0.42 mcg,0.020 mg,0.9 mg,8.00 IU,0.30 mg,0.30 mg,0.5 mcg,141.00 mg,0.016 mg,0.07 mg,10.00 mg,0,71.00 mg,212.00 mg,3.1 mcg,0.50 mg,3.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10 g,0.0 g,0.22 g,0,0,0,0,0,0,10.60 g,6.600 g,3.100 g,0.400 g,35.00 mg,0.0 g,0.70 g,0.00 mg,0.00 mg,78.10 g
137,0.416661764,0.219387249,swiss cheese,Dairy and Egg Products,cheese swiss,cheese swiss,100 g,393.0,31g,93mg,187.00 mg,15.5 mg,10.00 mcg,0.00 mcg,0.064 mg,0.353 mg,0.302 mg,0.011 mg,1047.00 IU,288.00 mcg,1.00 mcg,61.00 mcg,2.00 mcg,8.00 mcg,0.0,3.06 mcg,0.071 mg,0.0 mg,0.00 IU,0.60 mg,0.60 mg,1.4 mcg,890.00 mg,0.047 mg,0.13 mg,33.00 mg,0.026 mg,574.00 mg,72.00 mg,30.0 mcg,4.37 mg,26.96 g,0.914 g,0.927 g,1.569 g,0.290 g,5.704 g,0.508 g,1.065 g,0,1.537 g,2.959 g,2.585 g,0.784 g,1.662 g,3.690 g,1.640 g,1.038 g,0.401 g,1.693 g,2.139 g,1.44 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,30.99 g,18.227 g,8.046 g,1.341 g,93.00 mg,0.0 g,2.97 g,0.00 mg,0.00 mg,37.63 g
138,0.510159235,0.295615598,whole egg,Dairy and Egg Products,egg dried whole,egg dried whole,100 g,592.0,44g,1630mg,476.00 mg,1266.7 mg,119.00 mcg,0.00 mcg,0.340 mg,5.550 mg,1.977 mg,0.183 mg,999.00 IU,300.00 mcg,0.00 mcg,0.00 mcg,36.00 mcg,835.00 mcg,0.0,2.96 mcg,0.499 mg,0.0 mg,331.00 IU,3.88 mg,3.88 mg,1.2 mcg,244.00 mg,0.203 mg,7.20 mg,34.00 mg,0.058 mg,629.00 mg,540.00 mg,164.7 mcg,3.15 mg,48.05 g,2.706 g,3.071 g,5.020 g,1.070 g,6.388 g,1.623 g,1.202 g,0,2.434 g,4.150 g,3.339 g,1.495 g,2.530 g,1.832 g,3.773 g,2.129 g,0.775 g,1.981 g,2.991 g,1.13 g,0.0 g,0.56 g,0.00 g,0.00 g,0.56 g,0.00 g,0.00 g,0.00 g,43.90 g,15.069 g,16.726 g,8.314 g,1630.00 mg,0.0 g,4.13 g,0.00 mg,0.00 mg,2.78 g
139,0.383242143,0.827281141,bagel,grains,bagel cinnamonraisin,bagel cinnamonraisin,100 g,274.0,1.7g,0,344.00 mg,14.6 mg,111.00 mcg,90.00 mcg,3.080 mg,0.509 mg,0.277 mg,0.384 mg,73.00 IU,21.00 mcg,0.00 mcg,1.00 mcg,2.00 mcg,54.00 mcg,0.0,0.00 mcg,0.062 mg,0.7 mg,0.00 IU,0.31 mg,0.31 mg,0.7 mcg,19.00 mg,0.163 mg,3.80 mg,28.00 mg,0.876 mg,100.00 mg,148.00 mg,31.0 mcg,1.13 mg,9.80 g,0.333 g,0.378 g,0.479 g,0.210 g,3.240 g,0.343 g,0.217 g,0,0.367 g,0.671 g,0.238 g,0.179 g,0.474 g,1.080 g,0.481 g,0.285 g,0.114 g,0.272 g,0.424 g,55.20 g,2.3 g,5.98 g,0,0,0,0,0,0,1.70 g,0.274 g,0.175 g,0.671 g,0.00 mg,0.0 g,1.30 g,0.00 mg,0.00 mg,32.00 g
140,0.711947057,0.778158245,bagel multigrain,grains,bagel multigrain,bagel multigrain,100 g,241.0,1.2g,6mg,359.00 mg,16.1 mg,81.00 mcg,48.00 mcg,4.265 mg,0.518 mg,0.253 mg,0.422 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,80.00 mcg,0.0,0.00 mcg,0.180 mg,0.0 mg,0.00 IU,0.66 mg,0.66 mg,0.6 mcg,124.00 mg,0.236 mg,2.23 mg,85.00 mg,1.790 mg,188.00 mg,204.00 mg,26.9 mcg,1.52 mg,9.90 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.47 g,6.2 g,8.66 g,0,0,0,0,0,0,1.24 g,0.000 g,0.314 g,0.700 g,6.00 mg,0.0 g,1.99 g,0.00 mg,0.00 mg,39.40 g
141,0.669621776,0.807612042,bagel wheat,grains,bagel wheat,bagel wheat,100 g,250.0,1.5g,0,439.00 mg,9.8 mg,76.00 mcg,46.00 mcg,3.370 mg,0.375 mg,0.209 mg,0.403 mg,0.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,88.00 mcg,0.0,0.00 mcg,0.147 mg,0.0 mg,0.00 IU,0.32 mg,0.32 mg,1.5 mcg,20.00 mg,0.175 mg,2.76 mg,51.00 mg,1.430 mg,142.00 mg,165.00 mg,28.7 mcg,1.10 mg,10.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.89 g,4.1 g,6.12 g,0,0,0,0,0,0,1.53 g,0.000 g,0.290 g,0.936 g,0.00 mg,0.0 g,1.82 g,0.00 mg,0.00 mg,37.55 g
142,0.653631828,0.530366349,baker yeast,grains,leavening agent compressed baker yeast,leavening agent compressed baker yeast,100 g,105.0,1.9g,0,30.00 mg,32.0 mg,785.00 mcg,0.00 mcg,12.300 mg,4.900 mg,1.130 mg,1.880 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.01 mcg,0.430 mg,0.1 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,19.00 mg,0.148 mg,3.25 mg,40.00 mg,0.200 mg,336.00 mg,601.00 mg,8.1 mcg,9.97 mg,8.40 g,0.553 g,0.462 g,0.853 g,0.112 g,1.235 g,0.407 g,0.217 g,0,0.476 g,0.668 g,0.690 g,0.166 g,0.407 g,0.357 g,0.413 g,0.435 g,0.106 g,0.345 g,0.512 g,18.10 g,8.1 g,0.00 g,0,0,0,0,0,0,1.90 g,0.243 g,1.047 g,0.004 g,0.00 mg,0.0 g,1.80 g,0.00 mg,0.00 mg,69.00 g
143,0.51462467,0.934363257,baking powder,grains,baking chocolate liquid unsweetened,baking chocolate liquid unsweetened,100 g,472.0,48g,0,12.00 mg,0,19.00 mcg,0.00 mcg,2.100 mg,0.154 mg,0.279 mg,0.050 mg,12.00 IU,1.00 mcg,0,0,0,0,0.0,0.00 mcg,0.072 mg,0.0 mg,0,0,0,0,54.00 mg,1.910 mg,4.15 mg,265.00 mg,1.650 mg,340.00 mg,1166.00 mg,7.9 mcg,3.68 mg,12.10 g,0.561 g,0.689 g,1.211 g,0.148 g,1.828 g,0.545 g,0.210 g,0,0.471 g,0.737 g,0.609 g,0.125 g,0.584 g,0.520 g,0.525 g,0.481 g,0.182 g,0.456 g,0.730 g,36.20 g,18.1 g,0.00 g,0,0,0,0,0,0,47.70 g,25.290 g,9.230 g,10.700 g,0.00 mg,0,3.10 g,47.00 mg,1597.00 mg,0.90 g
144,0.343917492,0.639528732,biscuit plain buttermilk dry mix,grains,biscuit dry mix plain buttermilk,biscuit dry mix plain buttermilk,100 g,428.0,15g,2mg,1276.00 mg,11.0 mg,125.00 mcg,91.00 mcg,4.542 mg,0.884 mg,0.437 mg,0.575 mg,4.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,2.00 mcg,0.0,0.39 mcg,0.076 mg,0.3 mg,0.00 IU,0.13 mg,0.13 mg,6.5 mcg,179.00 mg,0.154 mg,2.77 mg,25.00 mg,0.340 mg,585.00 mg,163.00 mg,7.5 mcg,0.60 mg,8.00 g,0.261 g,0.315 g,0.364 g,0.164 g,2.567 g,0.276 g,0.177 g,0,0.288 g,0.562 g,0.213 g,0.142 g,0.392 g,0.896 g,0.393 g,0.233 g,0.098 g,0.242 g,0.334 g,63.40 g,2.1 g,11.65 g,0,0,0,0,0,0,15.40 g,3.965 g,8.584 g,2.011 g,2.00 mg,0.0 g,4.00 g,0.00 mg,0.00 mg,9.20 g
145,0.275848197,0.678743349,biscuit plain buttermilk frozen baked,grains,biscuit baked frozen plain buttermilk,biscuit baked frozen plain buttermilk,100 g,338.0,11g,1mg,942.00 mg,20.0 mg,70.00 mcg,58.00 mcg,3.352 mg,0.300 mg,0.292 mg,0.427 mg,2.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,9.00 mcg,0.0,0.14 mcg,0.047 mg,0.0 mg,0.00 IU,1.32 mg,1.32 mg,4.1 mcg,49.00 mg,0.083 mg,3.30 mg,17.00 mg,0.392 mg,430.00 mg,224.00 mg,18.8 mcg,0.48 mg,6.20 g,0.197 g,0.245 g,0.277 g,0.123 g,1.979 g,0.211 g,0.139 g,0,0.226 g,0.436 g,0.167 g,0.112 g,0.308 g,0.698 g,0.307 g,0.177 g,0.076 g,0.192 g,0.262 g,53.87 g,1.3 g,3.48 g,0,0,0,0,0,0,11.03 g,1.676 g,4.647 g,4.178 g,1.00 mg,0.0 g,2.20 g,0.00 mg,0.00 mg,26.70 g
146,0.269850608,0.552222801,biscuit plain buttermilk prepared recipe,grains,biscuit prepared recipe plain buttermilk,biscuit prepared recipe plain buttermilk,100 g,353.0,16g,3mg,580.00 mg,0,61.00 mcg,49.00 mcg,2.949 mg,0.285 mg,0.310 mg,0.356 mg,82.00 IU,0,0,0,0,0,0.0,0.08 mcg,0.035 mg,0.2 mg,0,0,0,0,235.00 mg,0.082 mg,2.90 mg,18.00 mg,0.378 mg,164.00 mg,121.00 mg,19.5 mcg,0.54 mg,7.00 g,0.226 g,0.275 g,0.335 g,0.132 g,2.175 g,0.231 g,0.161 g,0,0.273 g,0.514 g,0.226 g,0.132 g,0.347 g,0.780 g,0.352 g,0.211 g,0.087 g,0.232 g,0.313 g,44.60 g,1.5 g,2.18 g,0,0,0,0,0,0,16.30 g,4.324 g,6.930 g,4.163 g,3.00 mg,0.0 g,3.20 g,0,0,28.90 g
147,0.293755441,0.66417837,biscuit plain buttermilk refrigerated dough higher fat,grains,biscuit higher fat refrigerated dough plain buttermilk,biscuit higher fat refrigerated dough plain buttermilk,100 g,307.0,11g,1mg,977.00 mg,0,57.00 mcg,46.00 mcg,3.308 mg,0.346 mg,0.290 mg,0.391 mg,8.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,8.00 mcg,0.0,0.05 mcg,0.063 mg,0.1 mg,0,0.69 mg,0.69 mg,6.2 mcg,51.00 mg,0.090 mg,2.48 mg,17.00 mg,0.438 mg,470.00 mg,162.00 mg,8.0 mcg,0.50 mg,6.66 g,0.172 g,0.210 g,0.266 g,0.123 g,1.578 g,0.177 g,0.121 g,0,0.215 g,0.393 g,0.206 g,0.095 g,0.240 g,0.574 g,0.246 g,0.171 g,0.064 g,0.101 g,0.256 g,46.32 g,0.7 g,7.40 g,0,0,0,0,0,0,10.58 g,2.806 g,6.559 g,0.681 g,1.00 mg,0.0 g,3.30 g,0.00 mg,0.00 mg,33.15 g
148,0.190908734,0.610715915,biscuit plain buttermilk refrigerated dough higher fat baked,grains,biscuit baked higher fat refrigerated dough plain buttermilk,biscuit baked higher fat refrigerated dough plain buttermilk,100 g,324.0,11g,0,1002.00 mg,19.8 mg,63.00 mcg,53.00 mcg,3.684 mg,0.382 mg,0.299 mg,0.447 mg,2.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,8.00 mcg,0.0,0.00 mcg,0.046 mg,0.0 mg,0.00 IU,0.67 mg,0.67 mg,9.5 mcg,27.00 mg,0.086 mg,2.57 mg,18.00 mg,0.490 mg,446.00 mg,152.00 mg,13.6 mcg,0.41 mg,6.79 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.05 g,2.8 g,8.19 g,0.71 g,0.10 g,2.53 g,0.00 g,1.28 g,3.56 g,11.22 g,5.514 g,2.309 g,2.688 g,0.00 mg,0.0 g,3.25 g,0.00 mg,0.00 mg,29.69 g
